definir_nombre_tournois 4
Hosonuma_Chisa Ccuno_Romina
Sanders_Storm Guerrero_Eva
Payola_Julia Smith_Alicia
Hesse_Amandine Laskutova_Ksenia
Hosonuma_Chisa Sanders_Storm
Hesse_Amandine Payola_Julia
Hesse_Amandine Hosonuma_Chisa
enregistrement_tournoi New-York 2019
Caregaro_Martina Kubka_Martyna
Riera_Julia Ramialison_Irina
Mintegi_Ane Collins_Danielle
Bondarenko_Kateryna Antonitsch_Mira
Hozumi_Eri Rodionova_Arina
Matviyenko_Lisa Bosio_Victoria
Ganga_Eugenia Parres_Olga
Pliskova_Karolina Milatova_Sofia
Hayashi_Erina Guillermo_Lorraine
Ramirez_Evita Muhammad_Asia
Jimenez_Victoria Cornet_Alize
Yashina_Ekaterina Colling_Solymar
Kempen_Magali Aney_Jessie
Danilina_Anna Jorge_Francisca
Fahey_Katharine Struplova_Julie
Perrin_Conny Rosca_Andreea
Loredana_Ioana Ponchet_Jessika
Brady_Jennifer Yang_Zhaoxuan
Robbe_Alice Chang_Sophie
Dunne_Katy Da_Gabriella
Desai_Zeel Muchova_Karolina
Dartron_emeline Tanaka_Yuuki
HoraCkova_Gabriela Hertel_Anna
Frech_Magdalena Raina_Ankita
Kostova_Elitsa Ushijima_Risa
Lacasse_Raphaelle Hindova_Denisa
Custic_Marta Thandi_Karman
Sorribes_Sara Dagan_Mika
Romeo_Caroline Gervais_Julie
Ying_Fang Kudermetova_Polina
Chernyshova_Maryna Stollar_Fanny
Saigo_Yukina Fernandez_Leylah
Tomic_Sara Baptiste_Hailey
Loeb_Jamie Evtimova_Dia
Flink_Varvara Li_Ann
Sakellaridi_Sapfo Ortenzi_Jazmin
Hu_Victoria Marino_Rebecca
Imanishi_Miharu Orpana_Oona
Pachkaleva_Taisya Kalita_Anhelina
Matsuda_Misaki Kulikova_Anastasia
Choi_Ji-hee Rubini_Stefania
Gao_Xinyu Melnikova_Marina
Kuznetsova_Svetlana Flipkens_Kirsten
Bereznyak_Shelly Halep_Simona
Ivakhnenko_Valentyna Shymanovich_Iryna
Ruse_Elena-Gabriela Laskutova_Ksenia
Ezzat_Yasmin Bozovic_Alexandra
Falkner_Ziva Klincov_Bojana
Fruhvirtova_Linda Luikham_Jennifer
Sanders_Storm Molinaro_Eleonora
Govortsova_Olga Abe_Hiromi
Arcidiacono_Federica Delai_Melania
Badosa_Paula Meyer_Luisa
Shusharina_Maria Drazic_Mariana
Rogers_Shelby Capurro_Martina
Babic_Vladica Hsieh_Su-wei
Schoofs_Bibiane Timofeeva_Maria
Amanmuradova_Akgul Kruger_Isabella
Karatantcheva_Sesil Doroshina_Olga
Drummy_Georgia Carreras_Amanda
Zeballos_Noelia Eala_Alexandra
Morvayova_Viktoria Wargnier_Lucie
Bartone_Kamilla Failla_Jessica
Duerst_Jenny Kim_Da-bin
Caregaro_Martina Riera_Julia
Mintegi_Ane Bondarenko_Kateryna
Hozumi_Eri Matviyenko_Lisa
Ganga_Eugenia Pliskova_Karolina
Hayashi_Erina Ramirez_Evita
Jimenez_Victoria Yashina_Ekaterina
Kempen_Magali Danilina_Anna
Fahey_Katharine Perrin_Conny
Brady_Jennifer Loredana_Ioana
Robbe_Alice Dunne_Katy
Dartron_emeline Desai_Zeel
Frech_Magdalena HoraCkova_Gabriela
Lacasse_Raphaelle Kostova_Elitsa
Custic_Marta Sorribes_Sara
Romeo_Caroline Ying_Fang
Chernyshova_Maryna Saigo_Yukina
Tomic_Sara Loeb_Jamie
Flink_Varvara Sakellaridi_Sapfo
Imanishi_Miharu Hu_Victoria
Pachkaleva_Taisya Matsuda_Misaki
Gao_Xinyu Choi_Ji-hee
Kuznetsova_Svetlana Bereznyak_Shelly
Ruse_Elena-Gabriela Ivakhnenko_Valentyna
Falkner_Ziva Ezzat_Yasmin
Sanders_Storm Fruhvirtova_Linda
Govortsova_Olga Arcidiacono_Federica
Badosa_Paula Shusharina_Maria
Babic_Vladica Rogers_Shelby
Amanmuradova_Akgul Schoofs_Bibiane
Karatantcheva_Sesil Drummy_Georgia
Morvayova_Viktoria Zeballos_Noelia
Duerst_Jenny Bartone_Kamilla
Mintegi_Ane Caregaro_Martina
Hozumi_Eri Ganga_Eugenia
Jimenez_Victoria Hayashi_Erina
Fahey_Katharine Kempen_Magali
Brady_Jennifer Robbe_Alice
Frech_Magdalena Dartron_emeline
Custic_Marta Lacasse_Raphaelle
Chernyshova_Maryna Romeo_Caroline
Tomic_Sara Flink_Varvara
Pachkaleva_Taisya Imanishi_Miharu
Gao_Xinyu Kuznetsova_Svetlana
Falkner_Ziva Ruse_Elena-Gabriela
Sanders_Storm Govortsova_Olga
Babic_Vladica Badosa_Paula
Karatantcheva_Sesil Amanmuradova_Akgul
Morvayova_Viktoria Duerst_Jenny
Mintegi_Ane Hozumi_Eri
Jimenez_Victoria Fahey_Katharine
Brady_Jennifer Frech_Magdalena
Custic_Marta Chernyshova_Maryna
Tomic_Sara Pachkaleva_Taisya
Falkner_Ziva Gao_Xinyu
Sanders_Storm Babic_Vladica
Karatantcheva_Sesil Morvayova_Viktoria
Jimenez_Victoria Mintegi_Ane
Custic_Marta Brady_Jennifer
Tomic_Sara Falkner_Ziva
Karatantcheva_Sesil Sanders_Storm
Custic_Marta Jimenez_Victoria
Tomic_Sara Karatantcheva_Sesil
Tomic_Sara Custic_Marta
enregistrement_tournoi Melbourne 2020
Cornet_Alize Mattek-Sands_Bethanie
Suarez_Carla Bernardi_Clothilde 
Hanatani_Nagi Shymanovich_Iryna
Kolodziejova_Miriam Ma_Ye-Xin
Dinu_Cristina Sutjiadi_Aldila
Cao_Siqi Jorge_Francisca
Vondrousova_Marketa Pellicano_Helene
Marti_Sandy Sebov_Katherine
Zheng_Wushuang Bacsinszky_Timea
Poznikhirenko_Ganna Kempen_Magali
Kasatkina_Daria In-Albon_Ylena
Romeo_Caroline Amanmuradova_Akgul
Lys_Eva Adler_Lou
Bouzas_Jessica Ostapenko_Jeļena
Rossi_Federica Mladenovic_Kristina
Janicijevic_Selena Yuan_Yue
Kubareva_Anna Radwanska_Urszula
Manasse_Maegan Parnaby_Alana
Kimmelmann_Julia Lopatetska_Daria
Hsieh_Su-wei Morita_Ayumi
Ioana_Laura Giorgi_Camila
Zakharova_Anastasia Hourigan_Paige
Cirstea_Sorana Giavara_Haley
Govortsova_Olga Bouzkova_Marie
Kukharchuk_Nika Makarova_Ekaterina
Babic_Vladica Sama_Sathwika
Muhammad_Asia Bolkvadze_Mariam
Falkner_Ziva Kawa_Katarzyna
Gavrila_Oana Dema_Viktoriia
Alexandrova_Ekaterina Woo_Yeon
Krunic_Aleksandra Bhosale_Rutuja
Lansere_Sofya Fiquet_Tiphanie
Lantigua_Ana Taylor_Gabriella
Bojovic_Jana Selekhmeteva_Oksana
Shoshyna_Anastasiya Bejenaru_Karola
Maitane_Usue Flink_Varvara
Shapatava_Sofia Teichmann_Jil
Rus_Arantxa Guo_Hanyu
Pliskova_Karolina Bai_Alison
Errani_Sara Kulikova_Anastasia
Ponomar_Lisa Kruger_Isabella
Tomanova_Nikola Sizikova_Yana
Bellis_Catherine Tubello_Alice
Bogdan_Ana Klasen_Anna
Paquet_Chloe Vesnina_Elena
Georgeta_Oana Olyanovskaya_Valeriya
Park_Sohyun Putintseva_Yulia
Yuan_Chengyiyi Nara_Kurumi
Bolton_Elysia Bozovic_Alexandra
Perez_Ellen Kalinskaya_Anna
Karatantcheva_Sesil Quadre_Barakat
Potapova_Anastasia Cengiz_Berfu
Sanesi_Gaia Dart_Harriet
Ganz_Fiona Escauriza_Lara
Zhu_Amy Benoit_Marie
Hosonuma_Chisa Stefanini_Lucrezia
Klincov_Bojana Lee_Sarah
Lodikova_Daria Cadar_Elena-teodora
Zhu_Lin Piai_Eduarda
Reyngold_Ekaterina Carreras_Amanda
Steur_Julyette Bulgaru_Miriam
Kozlova_Kateryna Grymalska_Anastasia
Zheng_Qinwen Minella_Mandy
Kawaguchi_Natsumi Falconi_Irina
Suarez_Carla Cornet_Alize
Hanatani_Nagi Kolodziejova_Miriam
Cao_Siqi Dinu_Cristina
Vondrousova_Marketa Marti_Sandy
Poznikhirenko_Ganna Zheng_Wushuang
Romeo_Caroline Kasatkina_Daria
Bouzas_Jessica Lys_Eva
Janicijevic_Selena Rossi_Federica
Kubareva_Anna Manasse_Maegan
Kimmelmann_Julia Hsieh_Su-wei
Zakharova_Anastasia Ioana_Laura
Govortsova_Olga Cirstea_Sorana
Kukharchuk_Nika Babic_Vladica
Muhammad_Asia Falkner_Ziva
Gavrila_Oana Alexandrova_Ekaterina
Krunic_Aleksandra Lansere_Sofya
Bojovic_Jana Lantigua_Ana
Shoshyna_Anastasiya Maitane_Usue
Rus_Arantxa Shapatava_Sofia
Errani_Sara Pliskova_Karolina
Ponomar_Lisa Tomanova_Nikola
Bellis_Catherine Bogdan_Ana
Paquet_Chloe Georgeta_Oana
Park_Sohyun Yuan_Chengyiyi
Bolton_Elysia Perez_Ellen
Potapova_Anastasia Karatantcheva_Sesil
Sanesi_Gaia Ganz_Fiona
Zhu_Amy Hosonuma_Chisa
Lodikova_Daria Klincov_Bojana
Zhu_Lin Reyngold_Ekaterina
Steur_Julyette Kozlova_Kateryna
Zheng_Qinwen Kawaguchi_Natsumi
Suarez_Carla Hanatani_Nagi
Vondrousova_Marketa Cao_Siqi
Romeo_Caroline Poznikhirenko_Ganna
Janicijevic_Selena Bouzas_Jessica
Kubareva_Anna Kimmelmann_Julia
Govortsova_Olga Zakharova_Anastasia
Muhammad_Asia Kukharchuk_Nika
Krunic_Aleksandra Gavrila_Oana
Bojovic_Jana Shoshyna_Anastasiya
Rus_Arantxa Errani_Sara
Bellis_Catherine Ponomar_Lisa
Paquet_Chloe Park_Sohyun
Bolton_Elysia Potapova_Anastasia
Zhu_Amy Sanesi_Gaia
Lodikova_Daria Zhu_Lin
Steur_Julyette Zheng_Qinwen
Suarez_Carla Vondrousova_Marketa
Janicijevic_Selena Romeo_Caroline
Kubareva_Anna Govortsova_Olga
Muhammad_Asia Krunic_Aleksandra
Bojovic_Jana Rus_Arantxa
Bellis_Catherine Paquet_Chloe
Zhu_Amy Bolton_Elysia
Lodikova_Daria Steur_Julyette
Janicijevic_Selena Suarez_Carla
Kubareva_Anna Muhammad_Asia
Bojovic_Jana Bellis_Catherine
Zhu_Amy Lodikova_Daria
Janicijevic_Selena Kubareva_Anna
Bojovic_Jana Zhu_Amy
Bojovic_Jana Janicijevic_Selena
enregistrement_tournoi Paris 2020
Montgomery_Robin Bogdan_Ana
Brady_Jennifer Pigossi_Laura
Volynets_Katie Contreras_Fernanda
Myers_Abbie Cako_Jacqueline
Lumsden_Maia Danilina_Anna
Stevens_Lexie Zakarlyuk_Marianna
Bronzetti_Lucia Dema_Viktoriia
Wickmayer_Yanina Melnikova_Marina
Arruabarrena_Lara Hourigan_Paige
Lahey_Ashley Reyngold_Ekaterina
Rubini_Stefania Cabaj_Jacqueline
Bojovic_Jana Uslu_Ozlem
Salkova_Dominika Yang_Yidi
Imanishi_Miharu Gervais_Julie
Graham_Alexa Minokoshi_Mai
Thandi_Karman Yang_Zhaoxuan
Poznikhirenko_Ganna Gasanova_Anastasia
Broady_Naomi Ostapenko_Jeļena
Ruse_Elena-Gabriela Droguet_Aubane
Gabric_Anna Ivanova_Dasha
Osborne_Alexandra Ma_Shuyue
Jakupovic_Dalila Hu_Victoria
Burger_Cindy Nara_Kurumi
Hibi_Mayo Garcia_Caroline
Tomova_Viktoriya Begu_Irina-Camelia
Siskova_Anna Aney_Jessie
Halep_Simona Karunaratne_Adithya
Zarazua_Renata Gao_Xinyu
Sun_Lulu Jang_Su-Jeong
Bolkvadze_Mariam Snigur_Daria
Martincova_Tereza Frech_Magdalena
Kiick_Allie KrejCikova_Barbora
Capurro_Martina Trevisan_Martina
Gerlach_Katharina Siedliska_Natalia
Kinard_Tori Bhosale_Rutuja
Hirata_Ayumi PantuCkova_Magdalena
Zolotareva_Anastasia Lopatetska_Daria
Paulina_Maria Sonmez_Zeynep
Mertens_Elise Zaja_Anna
Markova_Johana Cornet_Alize
Nefedova_Anastasia Yoruk_Ilay
Tan_Harmony Husaric_Anita
Hayashi_Erina Rutlauka_Sabine
Giuseppe_Martina  Werner_Caroline
Atucha_Ainhoa Burdina_Evgeniya
Halbauer_Elizabeth Cepede_Veronica
Blinkova_Anna Gambogi_Sara
Bereznyak_Shelly Minnen_Greet
Berberovic_Nefisa Kuzmova_Katarina
Turati_Bianca Lodikova_Daria
Eikeri_Ulrikke Gabueva_Angelina
Danilovic_Olga Zavatska_Katarina
Mikulskyte_Justina Heisen_Vivian
Schader_Laura Watson_Heather
Matviyenko_Lisa Ezzat_Yasmin
Grammatikopoulou_Valentini Glatch_Alexa
Tilbuerger_Jantje Lao_Danielle
Albie_Audrey Price_Gabriella
Ccuno_Romina Colling_Solymar
Williams_Venus Collins_Danielle
Birrell_Kimberly Yamaguchi_Mei
Ioana_Laura Partaud_Marine
Lorenzo_Francesca Fossa_Nicole
Delai_Melania Glushko_Julia
Brady_Jennifer Montgomery_Robin
Myers_Abbie Volynets_Katie
Lumsden_Maia Stevens_Lexie
Wickmayer_Yanina Bronzetti_Lucia
Arruabarrena_Lara Lahey_Ashley
Bojovic_Jana Rubini_Stefania
Salkova_Dominika Imanishi_Miharu
Thandi_Karman Graham_Alexa
Poznikhirenko_Ganna Broady_Naomi
Gabric_Anna Ruse_Elena-Gabriela
Jakupovic_Dalila Osborne_Alexandra
Burger_Cindy Hibi_Mayo
Siskova_Anna Tomova_Viktoriya
Zarazua_Renata Halep_Simona
Sun_Lulu Bolkvadze_Mariam
Martincova_Tereza Kiick_Allie
Capurro_Martina Gerlach_Katharina
Hirata_Ayumi Kinard_Tori
Zolotareva_Anastasia Paulina_Maria
Markova_Johana Mertens_Elise
Nefedova_Anastasia Tan_Harmony
Giuseppe_Martina  Hayashi_Erina
Halbauer_Elizabeth Atucha_Ainhoa
Bereznyak_Shelly Blinkova_Anna
Turati_Bianca Berberovic_Nefisa
Danilovic_Olga Eikeri_Ulrikke
Schader_Laura Mikulskyte_Justina
Grammatikopoulou_Valentini Matviyenko_Lisa
Tilbuerger_Jantje Albie_Audrey
Williams_Venus Ccuno_Romina
Ioana_Laura Birrell_Kimberly
Delai_Melania Lorenzo_Francesca
Brady_Jennifer Myers_Abbie
Wickmayer_Yanina Lumsden_Maia
Arruabarrena_Lara Bojovic_Jana
Salkova_Dominika Thandi_Karman
Gabric_Anna Poznikhirenko_Ganna
Burger_Cindy Jakupovic_Dalila
Siskova_Anna Zarazua_Renata
Sun_Lulu Martincova_Tereza
Hirata_Ayumi Capurro_Martina
Zolotareva_Anastasia Markova_Johana
Giuseppe_Martina  Nefedova_Anastasia
Halbauer_Elizabeth Bereznyak_Shelly
Turati_Bianca Danilovic_Olga
Grammatikopoulou_Valentini Schader_Laura
Williams_Venus Tilbuerger_Jantje
Ioana_Laura Delai_Melania
Brady_Jennifer Wickmayer_Yanina
Arruabarrena_Lara Salkova_Dominika
Gabric_Anna Burger_Cindy
Siskova_Anna Sun_Lulu
Hirata_Ayumi Zolotareva_Anastasia
Giuseppe_Martina  Halbauer_Elizabeth
Grammatikopoulou_Valentini Turati_Bianca
Williams_Venus Ioana_Laura
Brady_Jennifer Arruabarrena_Lara
Siskova_Anna Gabric_Anna
Hirata_Ayumi Giuseppe_Martina 
Williams_Venus Grammatikopoulou_Valentini
Brady_Jennifer Siskova_Anna
Hirata_Ayumi Williams_Venus
Hirata_Ayumi Brady_Jennifer
afficher_classement
exit
